Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [VONNE BOUTIQUE],Precio [VONNE BOUTIQUE],En inventario [VONNE BOUTIQUE],Existencias bajas [VONNE BOUTIQUE],"modificador - ""tallas"""
anticipos,10296,Anticipos,Anticipos,,N,,,,,,,0.00,,,,N,Y,variable,,,N
balzer-verde-botella-m,10042,Balzer verde botella M,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,1.000,,N
blazer-amarillo-ch,10200,Blazer amarillo Ch,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,3.000,0.000,N
blazer-amarillo-g,10104,Blazer amarillo G,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,1.000,0.000,N
blazer-amarillo-m,10201,Blazer Amarillo M,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,1.000,0.000,N
blazer-amarillo-xl,10105,Blazer Amarillo XL,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,3.000,0.000,N
blazer-amarillo-xxl,10285,Blazer amarillo xxl,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,1.000,0.000,N
blazer-arena,10297,Blazer arena Ch,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,0.000,0.000,N
blazer-arena-g,10253,Blazer Arena G,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,0.000,,N
blazer-arena-m,10252,Blazer Arena M,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,0.000,,N
blazer-arena-xl,10254,Blazer arena XL,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,2.000,,N
blazer-arena-xxl,10255,Blazer arena XXL,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,0.000,,N
blazer-azul-bebé-g,10017,Blazer Azul bebé G,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,0.000,0.000,N
blazer-azul-bebé-m,10011,Blazer Azul bebé M,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,0.000,0.000,N
blazer-azul-bebé-xl,10018,Blazer Azul bebé xl,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,4.000,0.000,N
blazer-azul-marino,10298,Blazer azul marino CH,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,0.000,0.000,N
blazer-azul-marino-xxl,10004,Blazer Azul Marino XXL,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,0.000,,N
blazer-azul-rey-ch,10025,Blazer Azul rey Ch,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,2.000,0.000,N
blazer-azul-rey-g,10019,Blazer Azul rey G,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,5.000,0.000,N
blazer-azul-rey,10159,Blazer azul rey M,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,1.000,0.000,N
blazer-azul-rey-xl,10020,Blazer Azul rey XL,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,5.000,0.000,N
blazer-azul-rey-xxl,10131,Blazer azul rey XXL,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,2.000,0.000,N
blazer-blanco-ch,10286,Blazer blanco Ch,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,1.000,0.000,N
blazer-blanco-g,10031,Blazer blanco G,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,0.000,0.000,Y
blazer-blanco-m,10027,Blazer blanco M,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,0.000,10.000,Y
blazer-blanco-xl,10032,Blazer blanco Xl,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,0.000,0.000,Y
blazer-blanco-xxl,10033,Blazer blanco xxl,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,3.000,0.000,Y
blazer-café-ch,10021,Blazer café ch,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,0.000,1.000,Y
blazer-café-xl,10024,Blazer café Xl,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,1.000,1.000,Y
blazer-chedron-xl,10152,Blazer Chedron xl,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,0.000,0.000,N
blazer-fiuscia-ch,10133,Blazer Fiuscia Ch,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,5.000,0.000,N
blazer-fiuscia-g,10197,Blazer Fiuscia G,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,1.000,0.000,N
blazer-fiuscia,10123,Blazer Fiuscia M,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,1.000,0.000,N
blazer-fiuscia-xl,10198,Blazer Fiuscia Xl,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,0.000,0.000,N
blazer-fiuscia-xxl,10199,Blazer Fiuscia XXL,Blazer,,N,,,,,,,237.00,,,,Y,Y,550.00,0.000,0.000,N
blazer-gris-g,10100,Blazer gris G,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,2.000,,N
blazer-gris,10312,Blazer gris M,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,2.000,0.000,N
blazer-gris-xl,10313,Blazer gris XL,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,1.000,,N
blazer-gris-xxl,10314,Blazer gris XXL,Blazer,,N,,,,,,,230.00,,,,Y,Y,550.00,0.000,,N
