codigo,nombre,categoria,precio,precio_original,tallas,etiqueta,foto_url,descripcion,activo
VB-10121,Capa,abrigos-chalecos,900.0,1125,"CH, M, G",Colección Gala,https://api.loyverse.com/image/6739931f-99ad-4b45-b090-d521b9624335,"Prenda disponible en Vonne Boutique Plaza La Fragua, Saltillo. Tallas: CH, M, G. Consulta existencias en tiempo real por WhatsApp.",SI
VB-10101,Chaleco Peluche Con Gorro,abrigos-chalecos,800.0,1000,UNITALLA,Colección Gala,https://api.loyverse.com/image/8f25f547-46e0-4b9a-9c9d-1054d810d4a9,"Prenda disponible en Vonne Boutique Plaza La Fragua, Saltillo. Tallas: UNITALLA. Consulta existencias en tiempo real por WhatsApp.",SI
VB-10098,Conjunto Tejidos Varios,conjuntos,800.0,1000,UNITALLA,Colección Gala,https://api.loyverse.com/image/61067dae-6479-4878-8a66-fec03f577abf,"Prenda disponible en Vonne Boutique Plaza La Fragua, Saltillo. Tallas: UNITALLA. Consulta existencias en tiempo real por WhatsApp.",SI
VB-10280,Vestido Flores Cinto Tela,vestidos,750.0,938,UNITALLA,Colección Gala,https://api.loyverse.com/image/3f0c2e3e-51a8-499a-883f-c5861dc377e0,"Prenda disponible en Vonne Boutique Plaza La Fragua, Saltillo. Tallas: UNITALLA. Consulta existencias en tiempo real por WhatsApp.",SI
VB-10078,BlusóN Cuello Alto,vestidos,700.0,875,UNITALLA,Colección Gala,https://api.loyverse.com/image/08347598-6b60-4d7f-88c5-860618f3ed51,"Prenda disponible en Vonne Boutique Plaza La Fragua, Saltillo. Tallas: UNITALLA. Consulta existencias en tiempo real por WhatsApp.",SI
VB-10277,Vestido Mesh Sin Manga,vestidos,600.0,750,UNITALLA,En Tienda,https://api.loyverse.com/image/55351bf9-df8e-463f-84a7-60cf56628f96,"Prenda disponible en Vonne Boutique Plaza La Fragua, Saltillo. Tallas: UNITALLA. Consulta existencias en tiempo real por WhatsApp.",SI
VB-10030,Short Lentejuela,pantalones-faldas,600.0,750,"CH, M, G",En Tienda,https://api.loyverse.com/image/e76601ea-d9aa-4dfd-83b1-12fc177c5309,"Prenda disponible en Vonne Boutique Plaza La Fragua, Saltillo. Tallas: CH, M, G. Consulta existencias en tiempo real por WhatsApp.",SI
VB-10094,Falda Larga Vaca Abertura Al Frente,pantalones-faldas,600.0,750,UNITALLA,En Tienda,https://api.loyverse.com/image/c8695ba3-d43f-457a-901c-c4ead9d81091,"Prenda disponible en Vonne Boutique Plaza La Fragua, Saltillo. Tallas: UNITALLA. Consulta existencias en tiempo real por WhatsApp.",SI
VB-10087,"Set 3 Piezas (Chaleco, Cinto Y Camisa)",blusas,600.0,750,UNITALLA,En Tienda,https://api.loyverse.com/image/523655f2-470e-4596-a1c7-410248879e20,"Prenda disponible en Vonne Boutique Plaza La Fragua, Saltillo. Tallas: UNITALLA. Consulta existencias en tiempo real por WhatsApp.",SI
VB-10286,Blazer Blanco,blazers,550.0,688,XXL,Favorito Saltillo,https://api.loyverse.com/image/a5132ad0-72da-49f2-b99a-d4ea07a8fb36,"Prenda disponible en Vonne Boutique Plaza La Fragua, Saltillo. Tallas: XXL. Consulta existencias en tiempo real por WhatsApp.",SI
